tourney_name,Tournament,Winner,Loser,Winner,Loser,round,,Round,,AvgW,AvgL,Avgoddsw,Averoddsl
Australian Open,Australian Open,Djokovic,Nadal,Anderson,Mannarino,F,,1st Round,,1.06,9.96,,
Australian Open,Australian Open,Nadal,Tsitsipas,Basilashvili,Eubanks,SF,,1st Round,,1.23,4.28,,
Australian Open,Australian Open,Djokovic,Pouille,Albot,Mmoh,SF,,1st Round,,2.14,1.72,,
Australian Open,Australian Open,Nadal,Tiafoe,Travaglia,Andreozzi,QF,,1st Round,,1.44,2.82,,
Australian Open,Australian Open,Tsitsipas,Bautista,Verdasco,Kecmanovic,QF,,1st Round,,1.47,2.72,,
Australian Open,Australian Open,Pouille,Raonic,Cuevas,Lajovic,QF,,1st Round,,3.11,1.38,,
Australian Open,Australian Open,Djokovic,Nishikori,Haase,Garcia-Lopez,QF,,1st Round,,2.08,1.76,,
Australian Open,Australian Open,Nadal,Berdych,Tsitsipas,Berrettini,R16,,1st Round,,1.4,3,,
Australian Open,Australian Open,Tiafoe,Dimitrov,Dimitrov,Tipsarevic,R16,,1st Round,,1.06,9.97,,
Australian Open,Australian Open,Tsitsipas,Federer,Tiafoe,Gunneswaran,R16,,1st Round,,1.3,3.61,,
Australian Open,Australian Open,Bautista,Cilic,Nadal,Duckworth,R16,,1st Round,,1.04,11.64,,
Australian Open,Australian Open,Pouille,Coric,Fabbiano,Kubler,R16,,1st Round,,2.04,1.79,,
Australian Open,Australian Open,Raonic,Zverev,Opelka,Isner,R16,,1st Round,,2.75,1.46,,
Australian Open,Australian Open,Nishikori,Carreno,Schwartzman,Molleker,R16,,1st Round,,1.13,6.2,,
Australian Open,Australian Open,Djokovic,Medvedev,Evans,Ito,R16,,1st Round,,1.33,3.38,,
Australian Open,Australian Open,Nadal,De,Kudla,Polmans,R32,,1st Round,,1.27,3.84,,
Australian Open,Australian Open,Berdych,Schwartzman,Khachanov,Gojowczyk,R32,,1st Round,,1.1,7.07,,
Australian Open,Australian Open,Dimitrov,Fabbiano,De,Sousa,R32,,1st Round,,1.05,11.2,,
Australian Open,Australian Open,Tiafoe,Seppi,Troicki,Carballes,R32,,1st Round,,1.34,3.32,,
Australian Open,Australian Open,Federer,Fritz,Mcdonald,Rublev,R32,,1st Round,,3.46,1.32,,
Australian Open,Australian Open,Tsitsipas,Basilashvili,Laaksonen,Basic,R32,,1st Round,,1.81,2.01,,
Australian Open,Australian Open,Bautista,Khachanov,Berdych,Edmund,R32,,1st Round,,1.42,2.89,,
Australian Open,Australian Open,Cilic,Verdasco,Thompson,Lopez,R32,,1st Round,,1.31,3.49,,
Australian Open,Australian Open,Pouille,Popyrin,Ebden,Struff,R32,,1st Round,,2.37,1.6,,
