tourney_name,Tournament,winner_name,loser_name,Winner,Loser,round,,Round,,AvgW,AvgL,Avgoddsw,Averoddsl
Auckland,ASB Classic,Joao Sousa,Donald Young,Shapovalov D.,Dutra Silva R.,R32,,1st Round,,1.33,3.28,,
Auckland,ASB Classic,David Ferrer,Yibing Wu,Cuevas P.,Daniel T.,R32,,1st Round,,1.39,2.94,,
Auckland,ASB Classic,Roberto Bautista Agut,Michael Venus,Gojowczyk P.,Smyczek T.,R32,,1st Round,,1.56,2.41,,
Auckland,ASB Classic,Steve Johnson,Liam Caruana,Johnson S.,Caruana L.,R32,,1st Round,,1.11,6.73,,
Auckland,ASB Classic,Jiri Vesely,Radu Albot,Vesely J.,Albot R.,R32,,1st Round,,1.81,1.98,,
Auckland,ASB Classic,Lukas Lacko,Stefanos Tsitsipas,Lacko L.,Tsitsipas S.,R32,,1st Round,,2.66,1.47,,
Auckland,ASB Classic,Robin Haase,Casper Ruud,Haase R.,Ruud C.,R32,,1st Round,,1.37,3.08,,
Auckland,ASB Classic,Peter Gojowczyk,Tim Smyczek,Chung H.,Sandgren T.,R32,,1st Round,,1.23,4.09,,
Auckland,ASB Classic,Juan Martin del Potro,Denis Shapovalov,Bautista Agut R.,Johnson S.,R16,,2nd Round,,1.29,3.57,,
Auckland,ASB Classic,Karen Khachanov,Pablo Cuevas,Haase R.,Lacko L.,R16,,2nd Round,,1.75,2.07,,
Auckland,ASB Classic,Hyeon Chung,John Isner,Vesely J.,Querrey S.,R16,,2nd Round,,2.78,1.44,,
Auckland,ASB Classic,David Ferrer,Joao Sousa,Gojowczyk P.,Sock J.,R16,,2nd Round,,2.76,1.44,,
Auckland,ASB Classic,Roberto Bautista Agut,Steve Johnson,Ferrer D.,Sousa J.,R16,,2nd Round,,1.73,2.09,,
Auckland,ASB Classic,Jiri Vesely,Sam Querrey,Khachanov K.,Cuevas P.,R16,,2nd Round,,1.61,2.3,,
Auckland,ASB Classic,Robin Haase,Lukas Lacko,Del Potro J.M.,Shapovalov D.,R16,,2nd Round,,1.39,2.97,,
Auckland,ASB Classic,Peter Gojowczyk,Jack Sock,Chung H.,Isner J.,R16,,2nd Round,,2.14,1.7,,
Auckland,ASB Classic,Juan Martin del Potro,Karen Khachanov,Bautista Agut R.,Vesely J.,QF,,Quarterfinals,,1.18,4.8,,
Auckland,ASB Classic,David Ferrer,Hyeon Chung,Haase R.,Gojowczyk P.,QF,,Quarterfinals,,2.09,1.74,,
Auckland,ASB Classic,Roberto Bautista Agut,Jiri Vesely,Ferrer D.,Chung H.,QF,,Quarterfinals,,2.1,1.73,,
Auckland,ASB Classic,Robin Haase,Peter Gojowczyk,Del Potro J.M.,Khachanov K.,QF,,Quarterfinals,,1.27,3.79,,
Auckland,ASB Classic,Juan Martin del Potro,David Ferrer,Bautista Agut R.,Haase R.,SF,,Semifinals,,1.26,3.89,,
Auckland,ASB Classic,Roberto Bautista Agut,Robin Haase,Del Potro J.M.,Ferrer D.,SF,,Semifinals,,1.29,3.58,,
